"","incident_number","incident_date","call_type_description","location","reporting_district","station","received","cleared","disposition","latitude","longitude","map_point.latitude","map_point.longitude"
"11","21002526",2021-03-01,"Emergency Medical Service (EMS)","3300BLK LINCOLN BLVD","E-2S","Station 2 ",2021-03-01 13:04:19,2021-03-01 13:16:24,"Report              ","34.00265498311132","-118.47050831589772","34.0026549831113","-118.470508315898"
"12","21002531",2021-03-01,"Emergency Medical Service (EMS)","1700BLK OCEAN AVE","E-2N","Station 2 ",2021-03-01 14:20:29,2021-03-01 14:44:02,"Report              ","34.008964543296742","-118.49200823158014","34.0089645432967","-118.49200823158"
"13","21002530",2021-03-01,"Emergency Medical Service (EMS)","20TH ST / PICO BLVD","E-5N","Station 5 ",2021-03-01 14:18:26,2021-03-01 14:53:22,"Report              ","34.0194865515477","-118.46945289536841","34.0194865515477","-118.469452895368"
"14","21002533",2021-03-01,"Emergency Medical Service (EMS)","2500BLK 2ND ST","E-2N","Station 2 ",2021-03-01 14:55:55,2021-03-01 15:08:20,"Report              ","34.00325473618436","-118.48369601601388","34.0032547361844","-118.483696016014"
"15","21002536",2021-03-01,"Emergency Medical Service (EMS)","500BLK OLYMPIC BLVD W","E-1","Station 1 ",2021-03-01 15:36:19,2021-03-01 15:47:04,"Report              ","34.013073554128887","-118.48941315098216","34.0130735541289","-118.489413150982"
"16","21002534",2021-03-01,"Emergency Medical Service (EMS)","1000BLK 14TH ST","E-4","Station 3 ",2021-03-01 15:26:28,2021-03-01 15:54:00,"Report              ","34.028834113428388","-118.49124904027612","34.0288341134284","-118.491249040276"
"17","21002537",2021-03-01,"Emergency Medical Service (EMS)","500BLK 25TH ST","E-4","Station 3 ",2021-03-01 16:30:48,2021-03-01 17:12:55,"Report              ","34.043100644664911","-118.48737649487941","34.0431006446649","-118.487376494879"
"18","21002538",2021-03-01,"Emergency Medical Service (EMS)","1900BLK WILSHIRE BLVD ","E-4","Station 3 ",2021-03-01 16:55:37,2021-03-01 17:23:16,"Report              ","34.017185855687913","-118.5006750642855","34.0171858556879","-118.500675064286"
"19","21002539",2021-03-01,"Emergency Medical Service (EMS)","2700BLK NEILSON WAY","E-2S","Station 2 ",2021-03-01 19:00:28,2021-03-01 19:25:49,"Report              ","34.000551753447283","-118.48313032113383","34.0005517534473","-118.483130321134"
"20","21002540",2021-03-01,"Emergency Medical Service (EMS)","2000BLK SANTA MONICA BLVD","E-3","Station 3 ",2021-03-01 19:41:03,2021-03-01 20:10:06,"Report              ","34.013147286320851","-118.49595562953479","34.0131472863209","-118.495955629535"
"21","21002541",2021-03-01,"Emergency Medical Service (EMS)","1800BLK 16TH ST","E-3","Station 3 ",2021-03-01 20:27:15,2021-03-01 20:52:41,"Report              ","34.019400039574847","-118.47654323682187","34.0194000395748","-118.476543236822"
"22","21002543",2021-03-01,"Emergency Medical Service (EMS)","2000BLK DELAWARE AVE","E-5N","Station 5 ",2021-03-01 22:59:15,2021-03-01 23:16:44,"Report              ","34.0222592452008","-118.47171487229612","34.0222592452008","-118.471714872296"
"23","21002547",2021-03-02,"Emergency Medical Service (EMS)","2000BLK ARIZONA AVE","E-4","Station 3 ",2021-03-02 01:18:06,2021-03-02 01:55:59,"Report              ","34.030341815835556","-118.48117884297685","34.0303418158356","-118.481178842977"
"24","21002549",2021-03-02,"Emergency Medical Service (EMS)","800BLK BROADWAY","E-1","Station 1 ",2021-03-02 03:38:41,2021-03-02 04:19:08,"Report              ","34.018526347344213","-118.4893305928499","34.0185263473442","-118.48933059285"
"25","21002553",2021-03-02,"Emergency Medical Service (EMS)","1100BLK 7TH ST","E-6","Station 1 ",2021-03-02 06:21:27,2021-03-02 06:35:46,"Report              ","34.022098187438566","-118.49627115847869","34.0220981874386","-118.496271158479"
"26","21002557",2021-03-02,"Emergency Medical Service (EMS)","1200BLK 15TH ST","E-4","Station 3 ",2021-03-02 09:02:18,2021-03-02 09:29:57,"Report              ","34.026865130414578","-118.48710569302871","34.0268651304146","-118.487105693029"
"27","21002558",2021-03-02,"Emergency Medical Service (EMS)","1200BLK CHELSEA AVE","E-4","Station 3 ",2021-03-02 09:02:57,2021-03-02 09:34:59,"Report              ","34.034018356636913","-118.47827610019418","34.0340183566369","-118.478276100194"
"28","21002562",2021-03-02,"Emergency Medical Service (EMS)","LINCOLN BLVD / PACIFIC ST","E-2N","Station 2 ",2021-03-02 12:09:35,2021-03-02 12:24:17,"Report              ","34.0102293371227","-118.480440256792","34.0102293371227","-118.480440256792"
"29","21002564",2021-03-02,"Emergency Medical Service (EMS)","2700BLK 11TH ST","E-2S","Station 2 ",2021-03-02 12:24:22,2021-03-02 12:42:28,"Report              ","34.007605996971961","-118.47297831387832","34.007605996972","-118.472978313878"
"30","21002567",2021-03-02,"Emergency Medical Service (EMS)","1900BLK SANTA MONICA BLVD","E-3","Station 3 ",2021-03-02 14:38:34,2021-03-02 15:22:36,"Report              ","34.028296614677288","-118.48048821009432","34.0282966146773","-118.480488210094"
"31","21002568",2021-03-02,"Emergency Medical Service (EMS)","1300BLK EUCLID ST","E-3","Station 3 ",2021-03-02 14:50:21,2021-03-02 15:40:41,"Report              ","34.023980992973314","-118.48742110243425","34.0239809929733","-118.487421102434"
"32","21002571",2021-03-02,"Emergency Medical Service (EMS)","1600BLK FRANKLIN ST","E-3","Station 3 ",2021-03-02 17:28:32,2021-03-02 17:48:39,"Report              ","34.034540016239518","-118.4647340915226","34.0345400162395","-118.464734091523"
"33","21002573",2021-03-02,"Emergency Medical Service (EMS)","LINCOLN BLVD / PACIFIC ST","E-2N","Station 2 ",2021-03-02 19:09:35,2021-03-02 19:35:39,"Report              ","34.0102293371227","-118.480440256792","34.0102293371227","-118.480440256792"
"34","21002574",2021-03-02,"Emergency Medical Service (EMS)","1300BLK FRANKLIN ST","E-3","Station 3 ",2021-03-02 20:43:07,2021-03-02 20:59:41,"Report              ","34.038553387261082","-118.46943497473789","34.0385533872611","-118.469434974738"
"35","21002576",2021-03-02,"Emergency Medical Service (EMS)","2600BLK 30TH ST","E-5N","Station 5 ",2021-03-02 21:29:16,2021-03-02 21:47:06,"Report              ","34.020802427545213","-118.4546270332647","34.0208024275452","-118.454627033265"
"36","21002580",2021-03-03,"Emergency Medical Service (EMS)","2100BLK OCEAN AVE","E-2N","Station 2 ",2021-03-03 01:24:47,2021-03-03 01:36:51,"Report              ","34.004872283578756","-118.48923395150713","34.0048722835788","-118.489233951507"
"37","21002585",2021-03-03,"Emergency Medical Service (EMS)","1100BLK 7TH ST","E-6","Station 1 ",2021-03-03 03:11:28,2021-03-03 03:11:38,"Cancelled           ","34.022098187438566","-118.49627115847869","34.0220981874386","-118.496271158479"
"38","21002587",2021-03-03,"Emergency Medical Service (EMS)","1600BLK SANTA MONICA BLVD ","E-3","Station 3 ",2021-03-03 04:03:10,2021-03-03 04:13:36,"Report              ","34.025959629994375","-118.48337928475414","34.0259596299944","-118.483379284754"
"39","21002593",2021-03-03,"Emergency Medical Service (EMS)","600BLK PACIFIC ST","E-2N","Station 2 ",2021-03-03 07:49:49,2021-03-03 08:51:32,"Report              ","34.009358569940183","-118.48234501059406","34.0093585699402","-118.482345010594"
"40","21002594",2021-03-03,"Emergency Medical Service (EMS)","1400BLK 17TH ST","E-3","Station 3 ",2021-03-03 08:33:20,2021-03-03 08:51:29,"Report              ","34.025713174897128","-118.48207177139247","34.0257131748971","-118.482071771392"
"41","21002602",2021-03-03,"Emergency Medical Service (EMS)","1400BLK OLYMPIC BLVD ","E-3","Station 3 ",2021-03-03 11:35:00,2021-03-03 11:51:26,"Report              ","34.020031293446941","-118.48013485105044","34.0200312934469","-118.48013485105"
"42","21002603",2021-03-03,"Emergency Medical Service (EMS)","1800BLK 7TH ST","E-2N","Station 2 ",2021-03-03 11:35:32,2021-03-03 12:07:37,"Report              ","34.012368426153841","-118.48489214902294","34.0123684261538","-118.484892149023"
"43","21002605",2021-03-03,"Emergency Medical Service (EMS)","1100BLK CEDAR ST","E-2N","Station 2 ",2021-03-03 12:22:17,2021-03-03 12:54:48,"Report              ","34.010826594250929","-118.47544914842227","34.0108265942509","-118.475449148422"
"44","21002607",2021-03-03,"Emergency Medical Service (EMS)","1800BLK EUCLID ST","E-2N","Station 2 ",2021-03-03 13:35:02,2021-03-03 14:08:03,"Report              ","34.017062532189641","-118.47933987592614","34.0170625321896","-118.479339875926"
"45","21002611",2021-03-03,"Emergency Medical Service (EMS)","1300BLK SANTA MONICA BLVD","E-3","Station 3 ",2021-03-03 14:50:27,2021-03-03 14:55:44,"Report              ","34.023698952651522","-118.48616835663172","34.0236989526515","-118.486168356632"
"46","21002609",2021-03-03,"Emergency Medical Service (EMS)","200BLK OCEAN AVE","E-6","Station 1 ",2021-03-03 14:17:30,2021-03-03 15:08:41,"Report              ","34.027033008998728","-118.51511565510084","34.0270330089987","-118.515115655101"
"47","21002610",2021-03-03,"Emergency Medical Service (EMS)","2000BLK SANTA MONICA BLVD","E-3","Station 3 ",2021-03-03 14:50:01,2021-03-03 15:25:36,"Report              ","34.029065058266951","-118.47954200229255","34.029065058267","-118.479542002293"
"48","21002608",2021-03-03,"Emergency Medical Service (EMS)","2200BLK 29TH ST","E-5N","Station 5 ",2021-03-03 14:12:41,2021-03-03 15:39:24,"Report              ","34.024323321155507","-118.45904274087889","34.0243233211555","-118.459042740879"
"49","21002614",2021-03-03,"Emergency Medical Service (EMS)","2500BLK KANSAS AVE","E-5N","Station 5 ",2021-03-03 15:41:00,2021-03-03 15:58:20,"Report              ","34.02414996675612","-118.46379556455619","34.0241499667561","-118.463795564556"
"50","21002616",2021-03-03,"Emergency Medical Service (EMS)","1400BLK WILSHIRE BLVD ","E-4","Station 3 ",2021-03-03 16:03:42,2021-03-03 16:10:40,"Report              ","34.027160942455971","-118.48837578132829","34.027160942456","-118.488375781328"
"51","21002615",2021-03-03,"Emergency Medical Service (EMS)","1300BLK FRANKLIN ST","E-3","Station 3 ",2021-03-03 15:48:38,2021-03-03 16:21:02,"Report              ","34.038553387261082","-118.46943497473789","34.0385533872611","-118.469434974738"
"52","21002623",2021-03-03,"Emergency Medical Service (EMS)","2400BLK ASHLAND AVE ","E-5S","Station 5 ",2021-03-03 18:27:48,2021-03-03 18:28:52,"Report              ","33.999993146885949","-118.48041783528669","33.9999931468859","-118.480417835287"
"53","21002622",2021-03-03,"Emergency Medical Service (EMS)","1300BLK PICO BLVD","E-2N","Station 2 ",2021-03-03 18:21:45,2021-03-03 18:44:15,"Report              ","34.015303233538887","-118.47729153531321","34.0153032335389","-118.477291535313"
"54","21002625",2021-03-03,"Emergency Medical Service (EMS)","1000BLK 26TH ST","E-4","Station 3 ",2021-03-03 19:33:18,2021-03-03 19:57:02,"Report              ","34.038062051382376","-118.47987100245497","34.0380620513824","-118.479871002455"
"55","21002626",2021-03-03,"Emergency Medical Service (EMS)","1100BLK 4TH ST ","E-6","Station 1 ",2021-03-03 20:07:12,2021-03-03 20:27:28,"Report              ","34.01980049876768","-118.49910636100442","34.0198004987677","-118.499106361004"
"56","21002628",2021-03-03,"Emergency Medical Service (EMS)","1200BLK 17TH ST","E-4","Station 3 ",2021-03-03 20:51:00,2021-03-03 21:25:43,"Report              ","34.028397613801495","-118.48521333341866","34.0283976138015","-118.485213333419"
"57","21002627",2021-03-03,"Emergency Medical Service (EMS)","1300BLK 15TH ST ","E-3","Station 3 ",2021-03-03 20:44:59,2021-03-03 21:27:52,"Report              ","34.025516261530782","-118.48552775399021","34.0255162615308","-118.48552775399"
"58","21002630",2021-03-03,"Emergency Medical Service (EMS)","2300BLK KANSAS AVE","E-5N","Station 5 ",2021-03-03 22:34:24,2021-03-03 22:49:47,"Report              ","34.022651986161293","-118.46564612025949","34.0226519861613","-118.465646120259"
"59","21002632",2021-03-04,"Emergency Medical Service (EMS)","26TH ST / SANTA MONICA BLVD","E-3","Station 3 ",2021-03-04 01:12:53,2021-03-04 01:27:36,"Report              ","34.033306275341154","-118.47430231936488","34.0333062753412","-118.474302319365"
"60","21002633",2021-03-04,"Emergency Medical Service (EMS)","CLOVERFIELD BLVD / SANTA MONICA BLVD","E-3","Station 3 ",2021-03-04 01:39:21,2021-03-04 01:45:47,"Report              ","34.0311443988119","-118.47697772585445","34.0311443988119","-118.476977725854"
"61","21002634",2021-03-04,"Emergency Medical Service (EMS)","2300BLK SANTA MONICA BLVD","E-3","Station 3 ",2021-03-04 02:03:09,2021-03-04 02:15:09,"Report              ","34.0316941714527","-118.47790439484415","34.0316941714527","-118.477904394844"
"62","21002635",2021-03-04,"Emergency Medical Service (EMS)","11TH ST / CEDAR ST","E-2N","Station 2 ",2021-03-04 02:56:06,2021-03-04 03:20:07,"Report              ","34.010544324988253","-118.47593290012077","34.0105443249883","-118.475932900121"
"63","21002636",2021-03-04,"Emergency Medical Service (EMS)","700BLK PICO BLVD","E-2N","Station 2 ",2021-03-04 03:41:30,2021-03-04 04:13:17,"Report              ","34.012018711448967","-118.48347892934423","34.012018711449","-118.483478929344"
"64","21002638",2021-03-04,"Emergency Medical Service (EMS)","200BLK BICKNELL AVE","E-2N","Station 2 ",2021-03-04 04:41:59,2021-03-04 04:50:44,"Report              ","34.006918319996124","-118.48735052284842","34.0069183199961","-118.487350522848"
"65","21002641",2021-03-04,"Emergency Medical Service (EMS)","2700BLK 11TH ST","E-2S","Station 2 ",2021-03-04 07:20:54,2021-03-04 07:55:26,"Report              ","34.007605996971961","-118.47297831387832","34.007605996972","-118.472978313878"
"66","21002644",2021-03-04,"Emergency Medical Service (EMS)","1200BLK 3RD STREET PROM","E-6","Station 1 ",2021-03-04 09:56:48,2021-03-04 10:30:53,"Report              ","34.017670630773054","-118.4984524033883","34.0176706307731","-118.498452403388"
"67","21002651",2021-03-04,"Emergency Medical Service (EMS)","300BLK SANTA MONICA BLVD","E-1","Station 1 ",2021-03-04 11:04:58,2021-03-04 11:25:34,"Report              ","34.016031225459649","-118.4956195573054","34.0160312254596","-118.495619557305"
"68","21002655",2021-03-04,"Emergency Medical Service (EMS)","2100BLK OCEAN AVE","E-2N","Station 2 ",2021-03-04 12:41:25,2021-03-04 12:54:19,"Report              ","34.004872283578756","-118.48923395150713","34.0048722835788","-118.489233951507"
"69","21002657",2021-03-04,"Emergency Medical Service (EMS)","1400BLK BERKELEY ST","E-3","Station 3 ",2021-03-04 13:12:11,2021-03-04 13:23:09,"Report              ","34.036448803494643","-118.46881646819966","34.0364488034946","-118.4688164682"
"70","21002656",2021-03-04,"Emergency Medical Service (EMS)","1400BLK 23RD ST","E-3","Station 3 ",2021-03-04 13:06:07,2021-03-04 13:34:44,"Report              ","34.029759346670751","-118.47627168320787","34.0297593466708","-118.476271683208"
"71","21002664",2021-03-04,"Emergency Medical Service (EMS)","1500BLK BROADWAY","E-3","Station 3 ",2021-03-04 15:04:30,2021-03-04 15:20:02,"Report              ","34.023891594244489","-118.48270710173674","34.0238915942445","-118.482707101737"
"72","21002661",2021-03-04,"Emergency Medical Service (EMS)","200BLK SAN VICENTE BLVD","E-6","Station 1 ",2021-03-04 14:16:51,2021-03-04 15:31:58,"Report              ","34.0280740981855","-118.51219997258654","34.0280740981855","-118.512199972587"
"73","21002665",2021-03-04,"Emergency Medical Service (EMS)","400BLK MONTANA AVE","E-6","Station 1 ",2021-03-04 15:28:53,2021-03-04 15:38:50,"Report              ","34.024867566010855","-118.50420236060326","34.0248675660109","-118.504202360603"
"74","21002669",2021-03-04,"Emergency Medical Service (EMS)","200BLK BAY ST","E-2N","Station 2 ",2021-03-04 16:38:05,2021-03-04 16:46:48,"Report              ","34.007699914842","-118.48813664264002","34.007699914842","-118.48813664264"
"75","21002668",2021-03-04,"Emergency Medical Service (EMS)","2300BLK MAIN ST ","E-2N","Station 2 ",2021-03-04 16:37:22,2021-03-04 16:51:47,"Report              ","34.004861708114085","-118.48659212560041","34.0048617081141","-118.4865921256"
"76","21002672",2021-03-04,"Emergency Medical Service (EMS)","2500BLK 20TH ST","E-5N","Station 5 ",2021-03-04 18:06:58,2021-03-04 18:13:27,"Report              ","34.014230204172591","-118.46506480480912","34.0142302041726","-118.465064804809"
"77","21002673",2021-03-04,"Emergency Medical Service (EMS)","2100BLK OCEAN AVE","E-2N","Station 2 ",2021-03-04 18:45:10,2021-03-04 19:10:46,"Report              ","34.004872283578756","-118.48923395150713","34.0048722835788","-118.489233951507"
"78","21002674",2021-03-04,"Emergency Medical Service (EMS)","1500BLK OCEAN AVE","E-1","Station 1 ",2021-03-04 19:18:44,2021-03-04 19:42:54,"Report              ","34.012088541579821","-118.49565711760555","34.0120885415798","-118.495657117606"
"79","21002678",2021-03-04,"Emergency Medical Service (EMS)","1100BLK CENTINELA AVE","E-4","Station 3 ",2021-03-04 21:12:47,2021-03-04 21:33:55,"Report              ","34.042019923247068","-118.47219371461038","34.0420199232471","-118.47219371461"
"80","21002677",2021-03-04,"Emergency Medical Service (EMS)","2900BLK NEILSON WAY","E-2S","Station 2 ",2021-03-04 21:03:22,2021-03-04 21:44:58,"Report              ","33.998864377067996","-118.48143925427624","33.998864377068","-118.481439254276"
"81","21002679",2021-03-04,"Emergency Medical Service (EMS)","1600BLK ARIZONA AVE","E-4","Station 3 ",2021-03-04 21:45:03,2021-03-04 22:40:18,"Report              ","34.027297321901671","-118.48493802179605","34.0272973219017","-118.484938021796"
"82","21002680",2021-03-05,"Emergency Medical Service (EMS)","400BLK MONTANA AVE","E-6","Station 1 ",2021-03-05 00:10:08,2021-03-05 00:46:19,"Report              ","34.024867566010855","-118.50420236060326","34.0248675660109","-118.504202360603"
"83","21002681",2021-03-05,"Emergency Medical Service (EMS)","2000BLK ARIZONA AVE","E-4","Station 3 ",2021-03-05 00:30:51,2021-03-05 00:50:35,"Report              ","34.030341815835556","-118.48117884297685","34.0303418158356","-118.481178842977"
"84","21002683",2021-03-05,"Emergency Medical Service (EMS)","400BLK EXPO LINE ","E-1","Station 1 ",2021-03-05 01:21:08,2021-03-05 02:01:04,"Report              ","34.014786677397559","-118.49232590164787","34.0147866773976","-118.492325901648"
"85","21002684",2021-03-05,"Emergency Medical Service (EMS)","400BLK EXPO LINE","E-1","Station 1 ",2021-03-05 01:40:22,2021-03-05 02:07:21,"Report              ","34.014786677397559","-118.49232590164787","34.0147866773976","-118.492325901648"
"86","21002687",2021-03-05,"Emergency Medical Service (EMS)","1500BLK 6TH ST","E-1","Station 1 ",2021-03-05 03:38:54,2021-03-05 04:00:11,"Report              ","34.015940370186875","-118.4909105384959","34.0159403701869","-118.490910538496"
"87","21002688",2021-03-05,"Emergency Medical Service (EMS)","300BLK WILSHIRE BLVD","E-6","Station 1 ",2021-03-05 03:53:29,2021-03-05 04:27:52,"Report              ","34.01872964993035","-118.49877543651299","34.0187296499304","-118.498775436513"
"88","21002694",2021-03-05,"Emergency Medical Service (EMS)","1100BLK 11TH ST","E-6","Station 1 ",2021-03-05 08:26:59,2021-03-05 10:03:24,"Report              ","34.0251660816044","-118.49248718027285","34.0251660816044","-118.492487180273"
"89","21002697",2021-03-05,"Emergency Medical Service (EMS)","1100BLK LINCOLN BLVD ","E-6","Station 1 ",2021-03-05 10:26:33,2021-03-05 10:41:47,"Report              ","34.022864120169992","-118.49532323566156","34.02286412017","-118.495323235662"
"90","21002701",2021-03-05,"Emergency Medical Service (EMS)","900BLK YALE ST","E-4","Station 3 ",2021-03-05 12:36:25,2021-03-05 13:37:16,"Report              ","34.041647107947888","-118.47858051941574","34.0416471079479","-118.478580519416"
"91","21002702",2021-03-05,"Emergency Medical Service (EMS)","2900BLK MAIN ST ","E-2S","Station 2 ",2021-03-05 13:13:32,2021-03-05 13:42:49,"Report              ","33.99953505575732","-118.48110956547396","33.9995350557573","-118.481109565474"
"92","21002704",2021-03-05,"Emergency Medical Service (EMS)","200BLK OCEAN AVE","E-6","Station 1 ",2021-03-05 14:26:41,2021-03-05 15:13:25,"Report              ","34.027033008998728","-118.51511565510084","34.0270330089987","-118.515115655101"
"93","21002706",2021-03-05,"Emergency Medical Service (EMS)","1800BLK WILSHIRE BLVD","E-4","Station 3 ",2021-03-05 15:06:05,2021-03-05 15:21:56,"Report              ","34.03022749017299","-118.48459028855058","34.030227490173","-118.484590288551"
"94","21002707",2021-03-05,"Emergency Medical Service (EMS)","1700BLK DELAWARE AVE","E-3","Station 3 ",2021-03-05 15:21:21,2021-03-05 16:03:52,"Report              ","34.020005972118383","-118.47449117908346","34.0200059721184","-118.474491179083"
"95","21002710",2021-03-05,"Emergency Medical Service (EMS)","200BLK OCEAN AVE","E-6","Station 1 ",2021-03-05 15:32:50,2021-03-05 16:43:33,"Report              ","34.027033008998728","-118.51511565510084","34.0270330089987","-118.515115655101"
"96","21002712",2021-03-05,"Emergency Medical Service (EMS)","2900BLK NEILSON WAY","E-2S","Station 2 ",2021-03-05 16:54:08,2021-03-05 17:41:21,"Report              ","33.9993912035212","-118.48196726764044","33.9993912035212","-118.48196726764"
"97","21002713",2021-03-05,"Emergency Medical Service (EMS)","1800BLK 9TH ST","E-2N","Station 2 ",2021-03-05 17:02:02,2021-03-05 17:50:07,"Report              ","34.013731836745364","-118.48281949394225","34.0137318367454","-118.482819493942"
"98","21002714",2021-03-05,"Emergency Medical Service (EMS)","900BLK YALE ST","E-4","Station 3 ",2021-03-05 17:41:44,2021-03-05 17:57:53,"Report              ","34.041647107947888","-118.47858051941574","34.0416471079479","-118.478580519416"
"99","21002718",2021-03-05,"Emergency Medical Service (EMS)","OCEAN AVE / BROADWAY","E-1","Station 1 ",2021-03-05 18:47:04,2021-03-05 18:57:12,"Report              ","34.01275542127707","-118.49643812663004","34.0127554212771","-118.49643812663"
"100","21002720",2021-03-05,"Emergency Medical Service (EMS)","900BLK EUCLID ST","E-4","Station 3 ",2021-03-05 20:05:46,2021-03-05 20:52:10,"Report              ","34.02941641164837","-118.49377469772365","34.0294164116484","-118.493774697724"
"101","21002721",2021-03-05,"Emergency Medical Service (EMS)","1400BLK 17TH ST","E-3","Station 3 ",2021-03-05 20:54:43,2021-03-05 21:13:13,"Report              ","34.025713174897128","-118.48207177139247","34.0257131748971","-118.482071771392"
"102","21002722",2021-03-05,"Emergency Medical Service (EMS)","1300BLK BERKELEY ST","E-3","Station 3 ",2021-03-05 21:13:06,2021-03-05 21:45:40,"Report              ","34.037790234052906","-118.47038368328933","34.0377902340529","-118.470383683289"
"103","21002724",2021-03-05,"Emergency Medical Service (EMS)","1000BLK 9TH ST","E-6","Station 1 ",2021-03-05 21:31:31,2021-03-05 21:58:00,"Report              ","34.025001787722594","-118.49597938842948","34.0250017877226","-118.495979388429"
"104","21002725",2021-03-05,"Emergency Medical Service (EMS)","1400BLK LINCOLN BLVD ","E-1","Station 1 ",2021-03-05 22:05:28,2021-03-05 22:20:22,"Report              ","34.018811799682638","-118.49058730599012","34.0188117996826","-118.49058730599"
"105","21002726",2021-03-05,"Emergency Medical Service (EMS)","1100BLK 11TH ST","E-6","Station 1 ",2021-03-05 22:17:01,2021-03-05 22:35:52,"Report              ","34.0251660816044","-118.49248718027285","34.0251660816044","-118.492487180273"
"106","21002729",2021-03-05,"Emergency Medical Service (EMS)","1300BLK 23RD ST","E-3","Station 3 ",2021-03-05 23:48:28,2021-03-06 00:03:31,"Report              ","34.031366752258805","-118.47830657175457","34.0313667522588","-118.478306571755"
"107","21002731",2021-03-06,"Emergency Medical Service (EMS)","1400BLK 21ST ST","E-3","Station 3 ",2021-03-06 01:38:51,2021-03-06 02:02:55,"Report              ","34.028990563168641","-118.47802729158588","34.0289905631686","-118.478027291586"
"108","21002732",2021-03-06,"Emergency Medical Service (EMS)","CENTINELA AVE / BROADWAY","E-3","Station 3 ",2021-03-06 02:44:05,2021-03-06 02:58:29,"Report              ","34.037295260799041","-118.46615964485235","34.037295260799","-118.466159644852"
"109","21002734",2021-03-06,"Emergency Medical Service (EMS)","1500BLK 5TH ST ","E-1","Station 1 ",2021-03-06 05:56:00,2021-03-06 06:18:50,"Report              ","34.015169887217574","-118.49185107265015","34.0151698872176","-118.49185107265"
"110","21002735",2021-03-06,"Emergency Medical Service (EMS)","1100BLK 9TH ST","E-6","Station 1 ",2021-03-06 06:37:42,2021-03-06 07:04:47,"Report              ","34.023631676077493","-118.49438037746184","34.0236316760775","-118.494380377462"
"111","21002737",2021-03-06,"Emergency Medical Service (EMS)","2300BLK MAIN ST ","E-2N","Station 2 ",2021-03-06 09:09:34,2021-03-06 09:32:18,"Report              ","34.004861708114085","-118.48659212560041","34.0048617081141","-118.4865921256"
"112","21002739",2021-03-06,"Emergency Medical Service (EMS)","400BLK 19TH ST","E-4","Station 3 ",2021-03-06 09:42:09,2021-03-06 10:20:23,"Report              ","34.03944760171462","-118.4947876142602","34.0394476017146","-118.49478761426"
"113","21002743",2021-03-06,"Emergency Medical Service (EMS)","1100BLK 7TH ST","E-6","Station 1 ",2021-03-06 11:13:29,2021-03-06 11:43:10,"Report              ","34.022098187438566","-118.49627115847869","34.0220981874386","-118.496271158479"
"114","21002744",2021-03-06,"Emergency Medical Service (EMS)","24TH ST / IDAHO AVE","E-4","Station 3 ",2021-03-06 11:40:31,2021-03-06 11:59:52,"Report              ","34.038516782273973","-118.48415478447878","34.038516782274","-118.484154784479"
